,doi,author_name
253,10.1016/j.chb.2010.03.018,Gideon Vinitzky
254,10.1016/j.chb.2015.06.032,Lin Qiu
255,10.1016/j.chb.2015.06.032,Jiahui Lu
256,10.1016/j.chb.2015.06.032,Shanshan Yang
257,10.1016/j.chb.2015.06.032,Weina Qu
258,10.1016/j.chb.2015.06.032,Tingshao Zhu
259,10.1002/asi.23620,Mike Thelwall
260,10.1002/asi.23620,Olga Goriunova
261,10.1002/asi.23620,Farida Vis
262,10.1002/asi.23620,Simon Faulkner
263,10.1002/asi.23620,Anne Burns
264,10.1002/asi.23620,Jim Aulich
265,10.1002/asi.23620,Amalia Más-Bleda
266,10.1002/asi.23620,Emma Stuart
267,10.1002/asi.23620,Francesco D'Orazio
268,10.1145/3341162.3349298,Beryl Noë
269,10.1145/3341162.3349298,Liam D. Turner
270,10.1145/3341162.3349298,Roger M. Whitaker
271,10.1016/j.ipm.2018.10.007,Mike Thelwall
272,10.1016/j.ipm.2018.10.007,Emma Stuart
273,10.1108/AJIM-03-2018-0072,Yongqiang Sun
274,10.1108/AJIM-03-2018-0072,Yan Zhang
275,10.1108/AJIM-03-2018-0072,Xiao-Liang Shen
276,10.1108/AJIM-03-2018-0072,Nan Wang
277,10.1108/AJIM-03-2018-0072,Xi Sheryl Zhang
278,10.1108/AJIM-03-2018-0072,Yanqiu Wu
279,10.23919/ICITST.2017.8356381,Elizabeth Healy
280,10.23919/ICITST.2017.8356381,Husna Siddiqui
281,10.23919/ICITST.2017.8356381,Aspen Olmsted
282,10.1038/nature07634,Jeremy Ginsberg
283,10.1038/nature07634,Matthew Mohebbi
284,10.1038/nature07634,Rajan S. Patel
285,10.1038/nature07634,Lynnette Brammer
286,10.1038/nature07634,Mark S Smolinski
287,10.1038/nature07634,Larry Brilliant
288,10.1007/978-3-642-23635-8_3,Martin Szomszor
289,10.1007/978-3-642-23635-8_3,Patty Kostkova
290,10.1007/978-3-642-23635-8_3,Ed de Quincey
291,10.1145/1964858.1964874,Aron Culotta
292,10.1371/journal.pone.0019467,Alessio Signorini
293,10.1371/journal.pone.0019467,Alberto Maria Segre
294,10.1371/journal.pone.0019467,Philip M Polgreen
295,10.1145/2983323.2983760,Feifan Fan
296,10.1145/2983323.2983760,Yansong Feng
297,10.1145/2983323.2983760,Lili Yao
298,10.1145/2983323.2983760,Dongyan Zhao 0001
299,10.1109/TMM.2013.2265080,Luca Maria Aiello
300,10.1109/TMM.2013.2265080,Georgios Petkos
301,10.1109/TMM.2013.2265080,Carlos J. Martín-Dancausa
302,10.1109/TMM.2013.2265080,David Corney
303,10.1109/TMM.2013.2265080,Symeon Papadopoulos
304,10.1109/TMM.2013.2265080,Ryan Skraba
305,10.1109/TMM.2013.2265080,Ayse Göker
306,10.1109/TMM.2013.2265080,Yiannis Kompatsiaris
307,10.1109/TMM.2013.2265080,Alejandro Jaimes
308,10.1017/CBO9780511809071,Christopher D. Manning
309,10.1017/CBO9780511809071,Prabhakar Raghavan
310,10.1017/CBO9780511809071,Hinrich Schütze
311,10.1145/2009916.2010142,Jingxuan Li
312,10.1145/2009916.2010142,Lei Li
313,10.1145/2009916.2010142,Tao Li
314,10.1145/1277741.1277759,Xuanhui Wang
315,10.1145/1277741.1277759,ChengXiang Zhai
316,10.1145/2736277.2741643,Nemanja Djuric
317,10.1145/2736277.2741643,Hao Wu
318,10.1145/2736277.2741643,Vladan Radosavljevic
319,10.1145/2736277.2741643,Mihajlo Grbovic
320,10.1145/2736277.2741643,Narayan Bhamidipati
321,10.1145/1008992.1009052,Yi Zhang
322,10.1145/1989323.1989391,Chun Chen
323,10.1145/1989323.1989391,Feng Li
324,10.1145/1989323.1989391,Beng Chin Ooi
325,10.1145/1989323.1989391,Sai Wu
326,10.1007/978-3-319-16354-3_52,Yue Fei
327,10.1007/978-3-319-16354-3_52,Yihong Hong
328,10.1007/978-3-319-16354-3_52,Jianwu Yang
329,10.1145/1526709.1526728,Yue Lu
330,10.1145/1526709.1526728,ChengXiang Zhai
331,10.1145/1526709.1526728,Neel Sundaresan
332,10.1145/2505515.2505709,M-Dyaa Albakour
333,10.1145/2505515.2505709,Craig MacDonald
334,10.1145/2505515.2505709,Iadh Ounis
335,10.1109/ICDE.2014.6816635,Pei Lee
336,10.1109/ICDE.2014.6816635,Laks V. S. Lakshmanan
337,10.1109/ICDE.2014.6816635,Evangelos E. Milios
338,10.1145/2600428.2609634,Yadong Zhu
339,10.1145/2600428.2609634,Yanyan Lan
340,10.1145/2600428.2609634,Jiafeng Guo
341,10.1145/2600428.2609634,Xueqi Cheng
342,10.1145/2600428.2609634,Shuzi Niu
343,10.1016/B978-012722442-8/50016-1,Charu C. Aggarwal
344,10.1016/B978-012722442-8/50016-1,Jiawei Han
345,10.1016/B978-012722442-8/50016-1,Jianyong Wang
346,10.1016/B978-012722442-8/50016-1,Philip S. Yu
347,10.1145/2766462.2767710,Long Xia
348,10.1145/2766462.2767710,Jun Xu
349,10.1145/2766462.2767710,Yanyan Lan
350,10.1145/2766462.2767710,Jiafeng Guo
351,10.1145/2766462.2767710,Xueqi Cheng
352,10.1145/2396761.2396787,Chen Lin
353,10.1145/2396761.2396787,Chun Lin
354,10.1145/2396761.2396787,Jingxuan Li
355,10.1145/2396761.2396787,Dingding Wang
356,10.1145/2396761.2396787,Yang Chen
357,10.1145/2396761.2396787,Tao Li
