,score,id,url_num,author,title,venue,vol,pages,year,pub_type,key,doi,ee,url,num
149,,,,"[{'authorId': '1739581', 'name': 'John D. Lafferty', 'url': 'https://www.semanticscholar.org/author/1739581'}, {'authorId': '1736467', 'name': 'ChengXiang Zhai', 'url': 'https://www.semanticscholar.org/author/1736467'}]","Document Language Models, Query Models, and Risk Minimization for Information Retrieval",SIGIR,,,2001,,,10.1145/383952.383970,,https://www.semanticscholar.org/paper/78794136e68ee4801371136ec7943b376b47640e,
150,,,,"[{'authorId': '144539156', 'name': 'Rui Yan', 'url': 'https://www.semanticscholar.org/author/144539156'}, {'authorId': '145078589', 'name': 'Xiaojun Wan', 'url': 'https://www.semanticscholar.org/author/145078589'}, {'authorId': '2216583', 'name': 'Jahna Otterbacher', 'url': 'https://www.semanticscholar.org/author/2216583'}, {'authorId': '145633987', 'name': 'Liang Kong', 'url': 'https://www.semanticscholar.org/author/145633987'}, {'authorId': '21515518', 'name': 'Xiaoming Li', 'url': 'https://www.semanticscholar.org/author/21515518'}, {'authorId': '39509574', 'name': 'Yan Zhang', 'url': 'https://www.semanticscholar.org/author/39509574'}]",Evolutionary timeline summarization: a balanced optimization framework via iterative substitution,SIGIR '11,,,2011,,,10.1145/2009916.2010016,,https://www.semanticscholar.org/paper/280f9cc6ee7679d02a7b8b58d08173628057f3ea,
151,,,,"[{'authorId': '40282698', 'name': 'Yuanhua Lv', 'url': 'https://www.semanticscholar.org/author/40282698'}, {'authorId': '1736467', 'name': 'ChengXiang Zhai', 'url': 'https://www.semanticscholar.org/author/1736467'}]",A comparative study of methods for estimating query language models with pseudo feedback,CIKM,,,2009,,,10.1145/1645953.1646259,,https://www.semanticscholar.org/paper/d55d91952aa9b5b21ec81ce396c7b47497f9a338,
152,,,,"[{'authorId': '144430625', 'name': 'Stephen E. Robertson', 'url': 'https://www.semanticscholar.org/author/144430625'}]",Threshold Setting and Performance Optimization in Adaptive Filtering,Information Retrieval,,,2002,,,10.1023/A:1015702129514,,https://www.semanticscholar.org/paper/63b55643720cd74a8d6ee8acdecf54d32dfccbd9,
153,,,,"[{'authorId': '47410575', 'name': 'Xin Zheng', 'url': 'https://www.semanticscholar.org/author/47410575'}, {'authorId': '1735962', 'name': 'Aixin Sun', 'url': 'https://www.semanticscholar.org/author/1735962'}, {'authorId': '39996718', 'name': 'Sibo Wang', 'url': 'https://www.semanticscholar.org/author/39996718'}, {'authorId': '3024833', 'name': 'Jialong Han', 'url': 'https://www.semanticscholar.org/author/3024833'}]",Semi-Supervised Event-related Tweet Identification with Dynamic Keyword Generation,CIKM '17,,,2017,,,10.1145/3132847.3132968,,https://www.semanticscholar.org/paper/d911dc06c76d6a3e5b18b4aa18bc20772b0ca3fa,
154,,,,"[{'authorId': '50604395', 'name': 'Matt Jones', 'url': 'https://www.semanticscholar.org/author/50604395'}, {'authorId': '1751033', 'name': 'Philippe A. Palanque', 'url': 'https://www.semanticscholar.org/author/1751033'}, {'authorId': '145823914', 'name': 'Albrecht Schmidt', 'url': 'https://www.semanticscholar.org/author/145823914'}, {'authorId': '2666589', 'name': 'Tovi Grossman', 'url': 'https://www.semanticscholar.org/author/2666589'}]",Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,CHI 2014,,,2014,,,10.1145/1054972,,https://www.semanticscholar.org/paper/e825411ac5ac2d3fa3c7a852fa25a08eef78d052,
155,,,,"[{'authorId': '2243689', 'name': 'Tamer Başar', 'url': 'https://www.semanticscholar.org/author/2243689'}]",A New Approach to Linear Filtering and Prediction Problems,,,,2001,,,10.1109/9780470544334.ch9,,https://www.semanticscholar.org/paper/d36a38125557764efb0fd2b3ef0a4cde515b3861,
156,,,,"[{'authorId': '1750703', 'name': 'Ido Guy', 'url': 'https://www.semanticscholar.org/author/1750703'}, {'authorId': '32103099', 'name': 'Inbal Ronen', 'url': 'https://www.semanticscholar.org/author/32103099'}, {'authorId': '145560753', 'name': 'Eric Wilcox', 'url': 'https://www.semanticscholar.org/author/145560753'}]",Do you know?: recommending people to invite into your social network,IUI '09,,,2009,,,10.1145/1502650.1502664,,https://www.semanticscholar.org/paper/5c2154f0c887a544924aabfdd330888b2cfa9248,
157,,,,"[{'authorId': '1701451', 'name': 'Ramesh Nallapati', 'url': 'https://www.semanticscholar.org/author/1701451'}, {'authorId': '1773366', 'name': 'Ao Feng', 'url': 'https://www.semanticscholar.org/author/1773366'}, {'authorId': '1682136', 'name': 'Fuchun Peng', 'url': 'https://www.semanticscholar.org/author/1682136'}, {'authorId': '121300608', 'name': 'James Allan', 'url': 'https://www.semanticscholar.org/author/121300608'}]",Event threading within news topics,CIKM '04,,,2004,,,10.1145/1031171.1031258,,https://www.semanticscholar.org/paper/373fd1b2149546ff97ea874ae73f8eef989a11b9,
158,,,,"[{'authorId': '3334753', 'name': 'Yegin Genc', 'url': 'https://www.semanticscholar.org/author/3334753'}, {'authorId': '1724581', 'name': 'Yasuaki Sakamoto', 'url': 'https://www.semanticscholar.org/author/1724581'}, {'authorId': '1766622', 'name': 'Jeffrey V. Nickerson', 'url': 'https://www.semanticscholar.org/author/1766622'}]",Discovering Context: Classifying Tweets through a Semantic Transform Based on Wikipedia,HCI,,,2011,,,10.1007/978-3-642-21852-1_55,,https://www.semanticscholar.org/paper/c44951b5119da1bde4ebe025d9de07d955d7d756,
