,score,id,url_num,author,title,venue,vol,pages,year,pub_type,key,doi,ee,url,num
22,2,1637367,URL#1637367,"[{'@pid': '84/1101', 'text': 'Kohei Hayashi'}, {'@pid': '05/8510', 'text': 'Takanori Maehara'}, {'@pid': '16/482', 'text': 'Masashi Toyoda'}, {'@pid': '45/6846', 'text': 'Ken-ichi Kawarabayashi'}]",Real-Time Top-R Topic Detection on Twitter with Topic Hijack Filtering.,KDD,Null,417-426,2015,Conference and Workshop Papers,conf/kdd/HayashiMTK15,10.1145/2783258.2783402,https://doi.org/10.1145/2783258.2783402,https://dblp.org/rec/conf/kdd/HayashiMTK15,Null
23,2,1683649,URL#1683649,"[{'@pid': '177/0317', 'text': 'Ahmad Faisal Abidin'}, {'@pid': '07/1716', 'text': 'Mario Kolberg'}, {'@pid': '03/6772', 'text': 'Amir Hussain'}]",Integrating Twitter Traffic Information with Kalman Filter Models for Public Transportation Vehicle Arrival Time Prediction.,Big-Data Analytics and Cloud Computing,Null,67-82,2015,Parts in Books or Collections,books/sp/15/AbidinKH15,10.1007/978-3-319-25313-8_5,https://doi.org/10.1007/978-3-319-25313-8_5,https://dblp.org/rec/books/sp/15/AbidinKH15,Null
24,2,1726641,URL#1726641,"[{'@pid': '61/6257', 'text': 'Engin Bozdag'}, {'@pid': '72/5851', 'text': 'Qi Gao'}, {'@pid': 'h/GeertJanHouben', 'text': 'Geert-Jan Houben'}, {'@pid': '96/4299', 'text': 'Martijn Warnier'}]",Does offline political segregation affect the filter bubble? An empirical analysis of information diversity for Dutch and Turkish Twitter users.,Comput. Hum. Behav.,41,405-415,2014,Journal Articles,journals/chb/BozdagGHW14,10.1016/J.CHB.2014.05.028,https://doi.org/10.1016/j.chb.2014.05.028,https://dblp.org/rec/journals/chb/BozdagGHW14,Null
25,2,1730393,URL#1730393,"[{'@pid': '17/5702-1', 'text': 'Sangho Lee 0001'}, {'@pid': '46/2217', 'text': 'Jong Kim 0001'}]",Early filtering of ephemeral malicious accounts on Twitter.,Comput. Commun.,54,48-57,2014,Journal Articles,journals/comcom/LeeK14,10.1016/J.COMCOM.2014.08.006,https://doi.org/10.1016/j.comcom.2014.08.006,https://dblp.org/rec/journals/comcom/LeeK14,Null
26,2,1924258,URL#1924258,"[{'@pid': '120/5176', 'text': 'Hassan Saif'}, {'@pid': '54/2749', 'text': 'Miriam Fernández'}, {'@pid': '75/5430', 'text': 'Yulan He'}, {'@pid': '74/2147', 'text': 'Harith Alani'}]","On Stopwords, Filtering and Data Sparsity for Sentiment Analysis of Twitter.",LREC,Null,810-817,2014,Conference and Workshop Papers,conf/lrec/SaifFHA14,Null,http://www.lrec-conf.org/proceedings/lrec2014/summaries/292.html,https://dblp.org/rec/conf/lrec/SaifFHA14,Null
27,2,1940148,URL#1940148,"[{'@pid': '151/6887', 'text': 'Wesley Waldner'}, {'@pid': '28/6667', 'text': 'Julita Vassileva'}]","Emphasize, don&apos;t filter! - displaying recommendations in Twitter timelines.",RecSys,Null,313-316,2014,Conference and Workshop Papers,conf/recsys/WaldnerV14,10.1145/2645710.2645762,https://doi.org/10.1145/2645710.2645762,https://dblp.org/rec/conf/recsys/WaldnerV14,Null
28,2,1965833,URL#1965833,"[{'@pid': '11/6149', 'text': 'Georgiana Ifrim'}, {'@pid': '144/6393', 'text': 'Bichen Shi'}, {'@pid': '118/7246', 'text': 'Igor Brigadir'}]",Event Detection in Twitter using Aggressive Filtering and Hierarchical Tweet Clustering.,SNOW-DC@WWW,Null,33-40,2014,Conference and Workshop Papers,conf/www/IfrimSB14,Null,http://ceur-ws.org/Vol-1150/ifrim.pdf,https://dblp.org/rec/conf/www/IfrimSB14,Null
29,2,1976770,URL#1976770,"[{'@pid': '61/6257', 'text': 'Engin Bozdag'}, {'@pid': '72/5851', 'text': 'Qi Gao'}, {'@pid': 'h/GeertJanHouben', 'text': 'Geert-Jan Houben'}, {'@pid': '96/4299', 'text': 'Martijn Warnier'}]",Does Offline Political Segregation Affect the Filter Bubble? An Empirical Analysis of Information Diversity for Dutch and Turkish Twitter Users.,CoRR,abs/1406.7438,Null,2014,Informal Publications,journals/corr/BozdagGHW14,Null,http://arxiv.org/abs/1406.7438,https://dblp.org/rec/journals/corr/BozdagGHW14,Null
30,2,2021812,URL#2021812,"[{'@pid': '74/2824', 'text': 'Damiano Spina'}, {'@pid': '52/3559', 'text': 'Julio Gonzalo'}, {'@pid': '71/5174', 'text': 'Enrique Amigó'}]",Discovering filter keywords for company name disambiguation in twitter.,Expert Syst. Appl.,40,4986-5003,2013,Journal Articles,journals/eswa/SpinaGA13,10.1016/J.ESWA.2013.03.001,https://doi.org/10.1016/j.eswa.2013.03.001,https://dblp.org/rec/journals/eswa/SpinaGA13,12
31,2,2038477,URL#2038477,"[{'@pid': '97/9488', 'text': 'Changhyun Byun'}, {'@pid': '124/2434', 'text': 'Hyeoncheol Lee'}, {'@pid': '62/5342', 'text': 'Yanggon Kim'}, {'@pid': '124/2363', 'text': 'Kwangmi Ko Kim'}]",Twitter data collecting tool with rule-based filtering and analysis module.,IJWIS,9,184-203,2013,Journal Articles,journals/ijwis/ByunLKK13,10.1108/IJWIS-04-2013-0011,https://doi.org/10.1108/IJWIS-04-2013-0011,https://dblp.org/rec/journals/ijwis/ByunLKK13,3
